127.0.0.1 - - [21/Sep/2023:19:44:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%9E%91%ED%92%88%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%95%9C%EA%B5%AD%EB%A7%8C%ED%99%94%EB%B0%95%EB%AC%BC%EA%B4%80%20%EC%9E%85%EC%9E%A5%EA%B6%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%82%AC%EC%A7%84%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%9A%94%EC%8B%9C%EB%8B%A4%EC%9C%A0%EB%8B%88alchemy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%97%A4%EB%8D%94%EC%9C%85%20%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%8B%9C%EC%84%A0%EA%B3%BC%20%EC%9E%90%EC%84%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%A0%9C%201%ED%9A%8C%20%EA%B0%95%EC%A7%84%20%ED%95%98%EB%A7%A5%EC%B6%95%EC%A0%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%B8%8C%EB%A6%AD%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A0%9C%EC%A3%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%82%AC%EC%A7%84%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%B6%9C%EA%B5%AC%EA%B0%80%EC%96%B4%EB%94%94%EC%98%88%EC%9A%94.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EB%AE%A4%EC%A7%80%EC%BB%AC%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EA%B0%80%EC%9A%94%ED%86%B1%ED%85%90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EB%AE%A4%EC%A7%80%EC%BB%AC%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%83%80%EC%98%A4%EB%A5%B4%EB%8A%94%20%EC%96%B4%EB%91%A0%20%EC%86%8D%EC%97%90%EC%84%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%97%B0%EA%B7%B9%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%95%9C%EB%BC%98%EC%82%AC%EC%9D%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%97%B0%EA%B7%B9%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%83%9D%EC%8B%9C%EC%95%88%EC%97%90%EC%84%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%97%B0%EA%B7%B9%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%97%B0%EA%B7%B9%EB%9D%BC%EB%A9%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%97%B0%EA%B7%B9%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%96%89%EC%98%A4%EB%B2%84.jpg HTTP/1.1" 200 2113988
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%ED%81%B4%EB%9E%98%EC%8B%9D%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%A7%A4%EC%9D%BC%ED%81%B4%EB%9E%98%EC%8B%9D%EA%B3%BC%20%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94%20%EC%97%98%EC%BD%98%EC%84%9C%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%98%EC%84%9C%ED%8A%B8%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%97%91%EC%8A%A4%ED%8A%B8%EB%9D%BC%20%EC%98%A4%EB%94%94%EB%84%88%EB%A6%AC%20%EC%BD%98%EC%84%9C%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%ED%81%B4%EB%9E%98%EC%8B%9D%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%81%B4%EB%9E%98%EC%8B%9D%20%ED%8C%90%ED%83%80%EC%A7%80%EC%95%84%20%EB%8C%80%EA%B5%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%98%EC%84%9C%ED%8A%B8%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%AF%B8%EB%AA%A8%EB%A6%AC%EC%8A%A4%EC%A6%88%EC%BD%94%20%ED%8C%AC%EB%AF%B8%ED%8C%85.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%98%EC%84%9C%ED%8A%B8%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%96%B4%EA%B2%8C%EC%9D%B8%EC%8A%A4%ED%8A%B8%20%EB%8D%94%20%EC%BB%A4%EB%9F%B0%ED%8A%B8%20%EB%9D%BC%EC%9D%B4%EB%B8%8C%20%EC%9D%B8%EC%84%9C%EC%9A%B8%202023.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:34 +0900] "GET /semi01/resource/logo/bichon-frise.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:34 +0900] "GET /semi01/resource/image/logo2.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /semi01/newUser.ur HTTP/1.1" 200 18973
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%A1%9C%EA%B7%B8%EC%9D%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EC%9D%B4%EB%A9%94%EC%9D%BC2.png HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%B9%84%EB%B0%80%EB%B2%88%ED%98%B8.png HTTP/1.1" 304 -
